x,y,vx,vy
1.923076923076923184e-02,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.769230769230769551e-02,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.615384615384615918e-02,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.346153846153846367e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.730769230769230727e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.115384615384615641e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.884615384615384914e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.269230769230769273e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.653846153846154188e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.038461538461538547e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.423076923076923461e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.807692307692307820e-01,1.923076923076923184e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.923076923076923184e-02,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.769230769230769551e-02,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.615384615384615918e-02,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.346153846153846367e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.730769230769230727e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.115384615384615641e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.884615384615384914e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.269230769230769273e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.653846153846154188e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.038461538461538547e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.423076923076923461e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.807692307692307820e-01,5.769230769230769551e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.923076923076923184e-02,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.769230769230769551e-02,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.615384615384615918e-02,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.346153846153846367e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.730769230769230727e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.115384615384615641e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.884615384615384914e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.269230769230769273e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.653846153846154188e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.038461538461538547e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.423076923076923461e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.807692307692307820e-01,9.615384615384615918e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.923076923076923184e-02,1.346153846153846367e-01,0.000000000000000000e+00,0.000000000000000000e+00
