section,total_ms,calls,avg_ms,percent
Force Computation,641.213,77844498,8.23711e-06,1.23748
Pressure Compute,16.5115,6640,0.00248667,0.0318655
Density Computation,715.854,84551412,8.4665e-06,1.38153
Density Neighbourhood Search,25158.2,6555448588,3.83775e-06,48.5527
Integration,62.7987,13280,0.00472882,0.121195
Force Neighbourhood Search,25219.9,6562155502,3.84323e-06,48.6718
Initialisation,1.7892,1,1.7892,0.00345297
